r***1 ( 7 ) ,5,Absolutely amazing!!! I love it so much thank you so so much!! Got it fast too!!,2013-05-22,
r***r ( 823) ,5,Absolutely gorgeous!!! Thank you!,2013-05-20,
r***1 ( 12) ,5,"beautiful craftsmanship, excellent communication",2013-05-19,
s***o ( 79) ,5,Awesome ring..fast shipment. Thank you,2013-05-17,
f***n ( 110) ,5,beautiful ring ! at great price !,2013-05-16,
r***r ( 210) ,5,Wow! The ring is beautiful! Thank you,2013-05-15,
m***d ( 2 ) ,5,Beautiful ring! I love it! Great communication and delivery.,2013-05-15,
5***0 ( 48) ,5,Looks great!,2013-05-15,
i***n ( 5 ) ,5,Good people ,2013-05-14,
s***t ( 416) ,5,"Thank you so much for the beautiful rings, the bonus and the excellent service!!",2013-05-14,
a***o ( 32) ,5,A+++ 5 STAR SELLER THANKS...,2013-05-13,
s***i ( 4 ) ,5,If you exchange and issue refund I agree to not post negative feedback on Ebay,2013-05-12,
a***a ( 197) ,5,Gorgeous!! THANK YOU for making my day :),2013-05-12,
m***p ( 1527) ,5,Excellent transaction,2013-05-11,
m***h ( 260) ,5,Quick delivery across border. I have a happy wife!,2013-05-10,
4***4 ( 120) ,5,Great seller super fast shipping a plus.Thanks it really looks nice!!!,2013-05-09,
y***r ( 27) ,5,thx for all the help,2013-05-09,
w***l ( 52) ,5,The ring my fiancÃ© bought me is absolutely amazing! I love it! Beautiful piece! ,2013-05-08,
j***p ( 580) ,5,"Beautiful ring, sized perfectly, shipped quickly, Great Seller!****",2013-05-08,
_***_ ( 1904) ,5,Great seller. She loved the rings....Thanks,2013-05-07,
t***t ( 212) ,5,Item as described. Very nice A+++ seller Great communication,2013-05-07,
b***h ( 1 ) ,5,Stunning ring. Just amazing and breathtaking for the price as well.,2013-05-06,
u***t ( 2 ) ,5,thank you so much!! I absolutely loved it!!,2013-05-06,
0***0 ( 66) ,5,Awesome shipping and great buy! Wonderful communication,2013-05-06,
s***n ( 45) ,5,"More beautiful than picture, received quickly plus bonus earrings not expected",2013-05-06,
t***r ( 394) ,5,"perfect item, marvellous EBAYER, many thanks!!!!!!greetings from Austria",2013-05-04,
d***d ( 33) ,5,absolutely stunning,2013-05-03,
r***o ( 19) ,5,Good communication ... All therapists soon ... Highly recommended,2013-05-03,
u***u ( 4350) ,5,Great!!! Thanks! A+++,2013-05-02,
j***n ( 87) ,5,absolutely beautiful so thrilled aaaaaa EBAYER,2013-04-30,
i***d ( 18) ,5,"What a beautiful ring, ",2013-04-29,
r***s ( 13) ,5,Gracias thanks you my girlfriend she loved,2013-04-29,
e***a ( 34) ,5,good customer service,2013-04-28,
t***g ( 902) ,5,"Beautiful!!! I love it. Excellent customer service, A+++++",2013-04-27,
a***a ( 1 ) ,5,Great product. Very happy. Thank you,2013-04-27,
u***i ( 53) ,5,I love it! Will be buying again,2013-04-27,
f***e ( 910) ,5,"Awesome, thank you so much!!!!!!!",2013-04-26,
r***6 ( 204) ,5,Beautiful Ring! Got Another ring and Customer Service is the BEST!!!,2013-04-25,
a***b ( 17) ,5,Awesome,2013-04-24,
f***p ( 360) ,5,Quick ship!,2013-04-23,
l***d ( 522) ,5,Indescribably gorgeous in platinum!!! Very happy.,2013-04-23,
t***l ( 116) ,5,Thank you.,2013-04-23,
b***3 ( 237) ,5,"item is gorgeous, seller promt and courteous, will recommend to friends",2013-04-22,
s***o ( 60) ,5,Incredibly beautiful items. Thank you very much!,2013-04-22,
s***p ( 370) ,5,"BEAUTIFUL! I'm so pleased with this ring. Fast, easy transaction, thank you!",2013-04-20,
t***t ( 51) ,5,"Excellent communication, great product. AAA+++ seller",2013-04-19,
o***r ( 133) ,5,Awesome transaction. Love the ring! Thank you!!!!!!!,2013-04-18,
g***n ( 117) ,5,Great ebayer fast shipping and excellent description ,2013-04-17,
h***n ( 115) ,5,n/a,2013-04-17,
k***8 ( 46) ,5,Thanks for the great deal,2013-04-17,
b***c ( 93) ,5,Awesome seller. Fast shipping. Good communication. ,2013-04-16,
8***8 ( 82) ,5,Do you still get the free earrings with this,2013-04-15,
m***e ( 221) ,5,Thanks so much!ðŸ˜€loving it!!!,2013-04-14,
o***a ( 9 ) ,5,Thanks,2013-04-12,
y***i ( 170) ,5,A++++ seller fast shipping .... Love it! ,2013-04-12,
g***e ( 30) ,5,Great seller. amazing fast shipping. Great communication. stunning product,2013-04-12,
j***o ( 109) ,5,Beautiful! Can not tell from the real thing!,2013-04-12,
h***c ( 47) ,5,Received the item thank you so much it's gorgeous ,2013-04-11,
o***1 ( 134) ,5,exceptional service and quality as always,2013-04-10,
t***o ( 200) ,5,Awesome deal!! Love the ring!! Highly recommended!!! A++++++++++++++++++,2013-04-10,
d***6 ( 274) ,5,BEAUTIFUL my daughter will be so happy thank you!!,2013-04-10,
e***v ( 13) ,5,Transaction went very smooth....she was very impressed.,2013-04-10,
4***4 ( 68) ,5,Great item for a great price!!!,2013-04-09,
l***a ( 84) ,5,Absotlutely STUNNING!!!!,2013-04-08,
e***g ( 227) ,5,"Beautifulllllllll Ring, Best jewelry seller I ever dealed with Hands down!!",2013-04-08,
u***u ( 1 ) ,5,I found this service very helpful and very accurate.The finished product amazing,2013-04-08,
t***y ( 208) ,5,Thankyou so much ...Your quick and professional service was a breath of fresh ai,2013-04-08,
e***i ( 2 ) ,5,Very easy transaction ring was top quality my wife loved it,2013-04-07,
i***e ( 7 ) ,5,my ring is amazing even more beautiful in person. shipped fast and easy to track,2013-04-07,
0***9 ( 30) ,5,Thanks for the great ring!,2013-04-06,
i***n ( 39) ,5,How do you know what size I need ? Never was given the option. I need a size 6. ,2013-04-05,
7***7 ( 247) ,5,Good Ebayer As Advertised! Fast shipping,2013-04-05,
b***a ( 17) ,5,Great people to do business with will definitely be back to buy more,2013-04-05,
s***m ( 288) ,5,Great seller!,2013-04-05,
b***c ( 52) ,5,Exactly what ordered...beautiful ring!!,2013-04-05,
b***r ( 78) ,5,absolutely perfect.,2013-04-04,
g***d ( 286) ,5,Excellent seller. Great customer service. Quality product. Will buy again. ,2013-04-04,
s***. ( 49) ,5,"Beautiful ring, my girl loved it.. Thanks",2013-04-04,
f***2 ( 453) ,5,Very nice for the price would recommend seller,2013-04-03,
1***p ( 9 ) ,5,Wonderful communication. And great quality!!!,2013-04-03,
1***1 ( 17) ,5,Need ring size to be an 8.5,2013-04-03,
d***5 ( 59) ,5,Thanks she loves it.,2013-04-02,
a***l ( 43) ,5,GORGEOUS!!! Fast shipping!! Will buy from again : ),2013-04-02,
o***d ( 16) ,5,best customer service! ,2013-04-02,
b***t ( 272) ,5,Great Product! Fast Shipping! Great Communication! Very Pleased with Product,2013-04-02,
l***l ( 34) ,5,great seller grade A,2013-04-01,
r***e ( 4 ) ,5,I couldn't believe the packaging! Exquisitely boxed! Gorgeous ring!,2013-04-01,
_***e ( 160) ,5,So great! thanks!!,2013-03-31,
v***a ( 127) ,5,Great Items Great Prices Thanks Very Much.,2013-03-30,
c***y ( 42) ,5,Thanks very fast exactly what I wanted. My wife loves it a lot ,2013-03-30,
i***n ( 479) ,5,This ring is absoutley the most beautiful thing I've ever seen.Earrings too!!!,2013-03-29,
r***g ( 152) ,5,Fast thanks,2013-03-29,
d***e ( 374) ,5,"As always, beautiful, very speedy shipment. Size is a big bit, but no problem",2013-03-28,
d***u ( 35) ,5,nice doing business you again,2013-03-27,
s***s ( 130395) ,5,Very nice eBayer with fast transaction and nice items.,2013-03-26,
r***a ( 1 ) ,5,A very beautiful ring indeed! I hope I ordered the right size. ,2013-03-26,
l***o ( 302) ,5,BEAUTIFULL RING . WOULD BUY ANOTHER RING.VERY HAPPY!! IT REALLY DOES CUT GLASS,2013-03-25,
j***g ( 10) ,5,"The ring is absolutely beautiful! Nicer than I expected, thank you so much!",2013-03-25,
b***i ( 6 ) ,5,Great service and great product.,2013-03-24,
v***g ( 193) ,5,Looks fantastic. Great service. Quick shipping. Highly recommended.,2013-03-23,
