Unbelievable this ring is perfect ,Buyer: p***2 ( 238) ,Jul-10-13 06:53
Very prompt response time. ,Buyer: b***b ( 15) ,Jul-08-13 21:14
Absolutely gorgeous! Folks you cannot go wrong Buying here. Quality !!!!!!!!!,Buyer: s**** ( 962) ,Jul-08-13 16:55
great product and fast shipping,Buyer: 4***4 ( 41) ,Jul-08-13 14:14
Wonderful service and absolutely beautiful ring!!,Buyer: o***e ( 1 ) ,Jul-08-13 07:53
Best seller on ebay! Great transaction and BEAUTIFUL jewelry! Thanks!,Buyer: a***b ( 439) ,Jul-08-13 07:07
Great Ebayer. Thank you.,Buyer: m***n ( 223) ,Jul-07-13 13:59
a gorgeous ring! seller is rated A+++++++++++,Buyer: d***h ( 39) ,Jul-07-13 10:54
Quick resolution to my situation. Excellant customer service!,Buyer: d***e ( 29) ,Jul-06-13 15:32
new items,Buyer: h***b ( 1223) ,Jul-05-13 10:52
in love with them,Buyer: g***e ( 54) ,Jul-04-13 11:44
"A+ seller , very fast shipping ",Buyer: a***b ( 130) ,Jul-03-13 21:13
beautiful ring! excellent service!,Buyer: i***g ( 34) ,Jul-01-13 16:24
Great seller fast shipping! ,Buyer: 9***5 ( 31) ,Jul-01-13 09:24
Great Doing Business With You and the shipment was amazingly fast. Thank You,Buyer: m***r ( 37) ,Jun-30-13 07:46
They are awesome! ,Buyer: l***s ( 55) ,Jun-29-13 09:56
Awesome seller. Thx.,Buyer: m***n ( 223) ,Jun-28-13 08:17
Thank you,Buyer: 9***9 ( 124) ,Jun-27-13 21:51
Great transaction,Buyer: e***5 ( 49) ,Jun-27-13 20:15
"Awesome item, so pleased and it looks gorgeous.",Buyer: e***g ( 59) ,Jun-27-13 17:50
Excellent Transaction. Quality product,Buyer: a***l ( 41) ,Jun-27-13 17:06
"very understanding , 5 stars",Buyer: h***e ( 26) ,Jun-27-13 14:26
"Beautiful, just as discribed, love it, shipping could have been quicker though",Buyer: 4***4 ( 55) ,Jun-26-13 18:20
She loves it. Thanks again,Buyer: m***o ( 299) ,Jun-26-13 14:36
Great Customer Service,Buyer: t***t ( 21) ,Jun-25-13 10:40
Stunning & Brilliant! Fabulous communication - ALL quite accurate!,Buyer: b***i ( 235) ,Jun-25-13 09:10
great thank a loads=))),Buyer: l***m ( 309) ,Jun-24-13 12:36
Seems like a good company with great customer service.,Buyer: s***e ( 12) ,Jun-21-13 08:45
"Excellent Customer Service, exceptionally beautiful product. Couldn't be happier",Buyer: b***c ( 3 ) ,Jun-20-13 07:58
Thanks!!,Buyer: e***a ( 7 ) ,Jun-19-13 13:19
Quick Response To Cancel Request - Good Seller,Buyer: g***l ( 199) ,Jun-19-13 09:18
Great communication...returning item effortless! Thank you!,Buyer: s***k ( 39) ,Jun-19-13 05:30
Awesome product. Quick delivery. Beautiful earrings. ,Buyer: s***s ( 228) ,Jun-18-13 14:18
Absolutely breathtaking!,Buyer: v***l ( 212) ,Jun-18-13 13:37
What an amazing company!,Buyer: p***k ( 18) ,Jun-18-13 08:07
Item exquisite as described nice setting excel experiece Seller excellent servic,Buyer: m***p ( 68) ,Jun-17-13 21:47
Best purchase I made on eBay. What a presentation thanks for everything. ,Buyer: u***s ( 85) ,Jun-17-13 13:28
She loved the ring. Thank you so much,Buyer: k***b ( 34) ,Jun-17-13 11:56
"Excellent seller, exactly as shown, beautiful...",Buyer: k***j ( 10) ,Jun-16-13 13:07
good ebayer,Buyer: s***b ( 222) ,Jun-14-13 10:41
Perfect 100,Buyer: y***2 ( 20) ,Jun-14-13 09:38
Absolutely beautiful ring!! Wonderful people to deal with!! Thank you!!,Buyer: w***2 ( 198) ,Jun-14-13 05:56
Very satisfied. My fiance loves it. Now I need a nice ring. Thanks,Buyer: 9***9 ( 4 ) ,Jun-13-13 13:20
Great ,Buyer: p***0 ( 28) ,Jun-12-13 21:05
Great seller/ product. thanks. ,Buyer: r***f ( 270) ,Jun-12-13 20:50
"AWESOME EBAYER, from communication to shipping to a GIFT, WE WILL BE BACK",Buyer: e***n ( 103) ,Jun-12-13 11:36
Good transaction.,Buyer: h***t ( 3 ) ,Jun-12-13 09:08
"Excellent communication, super fast shipping!!! Great product",Buyer: e***c ( 44) ,Jun-12-13 00:50
BEAUTIFUL RING!!! FREE EARRINGS WERE AMAZING! THANK YOU!!!!!!!!!!!!!!!!!!!!!!!,Buyer: t***a ( 247) ,Jun-11-13 14:03
"Excellent communication, Excellent product, Service Exceeds expectations!",Buyer: d***e ( 15) ,Jun-11-13 12:34
Nice product. Fast delivery. Wish I would have got the wedding band too!,Buyer: p***m ( 48) ,Jun-10-13 09:29
This company was great contacting me for the size of the ring i forgot to send.,Buyer: 6***0 ( 42) ,Jun-10-13 06:28
Its very gorgeous. My fiance will love it. ,Buyer: h***l ( 27) ,Jun-07-13 19:33
"Fanatstic ring, Wow, better go pick my wife up off the floor! She loves it!!!!",Buyer: g***9 ( 127) ,Jun-07-13 14:48
Great company to deal with !! Highly Reccomended!!!,Buyer: 2***1 ( 22) ,Jun-07-13 04:20
Great seller! Great item at a great price with quick shipping! Thank you :),Buyer: a***h ( 1026) ,Jun-06-13 21:23
VERY safe/fast shipping...great item. Thank you...and thanks for the bonus!,Buyer: t***r ( 356) ,Jun-06-13 13:39
"Beautiful ring, shipped fast, would buy from again",Buyer: y***t ( 4 ) ,Jun-06-13 12:46
Very nice! Thank you,Buyer: d***s ( 280) ,Jun-06-13 08:15
Perfect! Super eBayer!!!! Super fast shipping!!! Thank you!!!! ,Buyer: m***k ( 167) ,Jun-05-13 14:23
"Awesome ring!! Very happy with the way it look. Will buy again! Thanks,,",Buyer: d***y ( 18) ,Jun-03-13 15:52
Item looks great!,Buyer: d***t ( 251) ,Jun-03-13 10:11
Praise the Lord for the beautiful ring and earrings!!!! Thanks!!,Buyer: p***p ( 13) ,Jun-03-13 06:44
Received my ring in less time then expected! Love the item purchased!,Buyer: m***d ( 3 ) ,Jun-02-13 17:32
"Fantastic service, super fast delivery and amazing quality, highly recommended!!",Buyer: t***s ( 156) ,Jun-01-13 02:30
"Pleasure doing business, *****fast shipping******",Buyer: y***o ( 103) ,May-31-13 22:01
Very nice and i got earrings as gift thank you ,Buyer: z***i ( 44) ,May-31-13 09:27
njce thank you,Buyer: g***t ( 78) ,May-30-13 22:18
i had a great experence with agape the ring turned awesome and service was great,Buyer: e***j ( 1 ) ,May-30-13 17:20
Never got cancel,Buyer: b***b ( 42) ,May-29-13 18:17
Fast shipping. Great communication. Thank you.,Buyer: 3***3 ( 97) ,May-29-13 16:05
Very Satisfied. Best Customer Service! Will Buy Again!,Buyer: f***o ( 634) ,May-28-13 17:07
Great seller! pleasure to do business with!,Buyer: c***a ( 47) ,May-28-13 12:36
Just as promised! And also the free Gift was greatly appreciated! Thanks!,Buyer: c***f ( 22) ,May-28-13 11:38
Great ring thanks so much,Buyer: o***2 ( 55) ,May-27-13 08:55
Aaaaaaaaaaaaa+++++++++++++++,Buyer: m***y ( 125) ,May-26-13 05:12
Beautiful ring! Thank you,Buyer: z***1 ( 22) ,May-25-13 09:58
I can not believe how beautiful this ring is. Wow. A+ ,Buyer: y***b ( 19) ,May-25-13 08:32
"AMAZING QUALITY! In love with my earrings and ring. Beautiful packaging,too. A++",Buyer: s***a ( 6 ) ,May-24-13 14:08
Absolutely Gorgeous! I love it and the earrings were a nice treat Thank You!,Buyer: k***r ( 181) ,May-24-13 11:59
fast service and my wife happy with the ring,Buyer: f***s ( 112) ,May-24-13 06:39
A million thanks! Ring was PERFECT WOW! TY for the EARRINGS TOO! So unexpected! ,Buyer: i***e ( 9 ) ,May-23-13 07:22
Excellent transaction. Very nice transaction. Bid and buy with confidence.,Buyer: t***r ( 106) ,May-22-13 14:28
"Beautiful ring, Fast shipping",Buyer: 4***4 ( 325) ,May-22-13 11:51
Absolutely amazing!!! I love it so much thank you so so much!! Got it fast too!!,Buyer: r***1 ( 7 ) ,May-22-13 09:26
Absolutely gorgeous!!! Thank you!,Buyer: r***r ( 823) ,May-20-13 17:09
"beautiful craftsmanship, excellent communication",Buyer: r***1 ( 12) ,May-19-13 02:22
Awesome ring..fast shipment. Thank you,Buyer: s***o ( 79) ,May-17-13 11:08
beautiful ring ! at great price !,Buyer: f***n ( 110) ,May-16-13 20:42
Wow! The ring is beautiful! Thank you,Buyer: r***r ( 210) ,May-15-13 21:14
Beautiful ring! I love it! Great communication and delivery.,Buyer: m***d ( 2 ) ,May-15-13 07:23
Looks great!,Buyer: 5***0 ( 48) ,May-15-13 04:49
Good people ,Buyer: i***n ( 5 ) ,May-14-13 21:40
"Thank you so much for the beautiful rings, the bonus and the excellent service!!",Buyer: s***t ( 416) ,May-14-13 09:09
A+++ 5 STAR SELLER THANKS...,Buyer: a***o ( 32) ,May-13-13 22:08
If you exchange and issue refund I agree to not post negative feedback on Ebay,Buyer: s***i ( 4 ) ,May-12-13 19:03
Gorgeous!! THANK YOU for making my day :),Buyer: a***a ( 197) ,May-12-13 07:24
Excellent transaction,Buyer: m***p ( 1527) ,May-11-13 14:39
Quick delivery across border. I have a happy wife!,Buyer: m***h ( 260) ,May-10-13 16:20
Great seller super fast shipping a plus.Thanks it really looks nice!!!,Buyer: 4***4 ( 120) ,May-09-13 20:32
thx for all the help,Buyer: y***r ( 27) ,May-09-13 19:51
The ring my fiancÌ© bought me is absolutely amazing! I love it! Beautiful piece! ,Buyer: w***l ( 52) ,May-08-13 19:15
"Beautiful ring, sized perfectly, shipped quickly, Great Seller!****",Buyer: j***p ( 580) ,May-08-13 09:34
Great seller. She loved the rings....Thanks,Buyer: _***_ ( 1904) ,May-07-13 19:37
Item as described. Very nice A+++ seller Great communication,Buyer: t***t ( 212) ,May-07-13 10:37
Stunning ring. Just amazing and breathtaking for the price as well.,Buyer: b***h ( 1 ) ,May-06-13 21:08
thank you so much!! I absolutely loved it!!,Buyer: u***t ( 2 ) ,May-06-13 18:19
Awesome shipping and great buy! Wonderful communication,Buyer: 0***0 ( 66) ,May-06-13 14:54
"More beautiful than picture, received quickly plus bonus earrings not expected",Buyer: s***n ( 45) ,May-06-13 10:27
"perfect item, marvellous EBAYER, many thanks!!!!!!greetings from Austria",Buyer: t***r ( 394) ,May-04-13 11:02
absolutely stunning,Buyer: d***d ( 33) ,May-03-13 11:42
Good communication ... All therapists soon ... Highly recommended,Buyer: r***o ( 19) ,May-03-13 03:23
Great!!! Thanks! A+++,Buyer: u***u ( 4350) ,May-02-13 17:11
absolutely beautiful so thrilled aaaaaa EBAYER,Buyer: j***n ( 87) ,Apr-30-13 22:20
"What a beautiful ring, ",Buyer: i***d ( 18) ,Apr-29-13 19:58
Gracias thanks you my girlfriend she loved,Buyer: r***s ( 13) ,Apr-29-13 13:29
good customer service,Buyer: e***a ( 34) ,Apr-28-13 14:07
"Beautiful!!! I love it. Excellent customer service, A+++++",Buyer: t***g ( 902) ,Apr-27-13 14:39
Great product. Very happy. Thank you,Buyer: a***a ( 1 ) ,Apr-27-13 14:26
I love it! Will be buying again,Buyer: u***i ( 53) ,Apr-27-13 08:28
"Awesome, thank you so much!!!!!!!",Buyer: f***e ( 910) ,Apr-26-13 05:29
Beautiful Ring! Got Another ring and Customer Service is the BEST!!!,Buyer: r***6 ( 204) ,Apr-25-13 15:58
Awesome,Buyer: a***b ( 17) ,Apr-24-13 12:17
Quick ship!,Buyer: f***p ( 360) ,Apr-23-13 19:51
Indescribably gorgeous in platinum!!! Very happy.,Buyer: l***d ( 522) ,Apr-23-13 12:17
Thank you.,Buyer: t***l ( 116) ,Apr-23-13 08:25
"item is gorgeous, seller promt and courteous, will recommend to friends",Buyer: b***3 ( 237) ,Apr-22-13 21:04
Incredibly beautiful items. Thank you very much!,Buyer: s***o ( 60) ,Apr-22-13 08:25
"BEAUTIFUL! I'm so pleased with this ring. Fast, easy transaction, thank you!",Buyer: s***p ( 370) ,Apr-20-13 04:32
"Excellent communication, great product. AAA+++ seller",Buyer: t***t ( 51) ,Apr-19-13 16:27
Awesome transaction. Love the ring! Thank you!!!!!!!,Buyer: o***r ( 133) ,Apr-18-13 13:16
Great ebayer fast shipping and excellent description ,Buyer: g***n ( 117) ,Apr-17-13 17:26
n/a,Buyer: h***n ( 115) ,Apr-17-13 10:03
Thanks for the great deal,Buyer: k***8 ( 46) ,Apr-17-13 08:57
Awesome seller. Fast shipping. Good communication. ,Buyer: b***c ( 93) ,Apr-16-13 17:06
