"Excellent communication, super fast shipping!!! Great product",5,Buyer: e***c ( 44) ,2013-06-12
BEAUTIFUL RING!!! FREE EARRINGS WERE AMAZING! THANK YOU!!!!!!!!!!!!!!!!!!!!!!!,5,Buyer: t***a ( 247) ,2013-06-11
"Excellent communication, Excellent product, Service Exceeds expectations!",5,Buyer: d***e ( 15) ,2013-06-11
Nice product. Fast delivery. Wish I would have got the wedding band too!,5,Buyer: p***m ( 48) ,2013-06-10
This company was great contacting me for the size of the ring i forgot to send.,5,Buyer: 6***0 ( 42) ,2013-06-10
Its very gorgeous. My fiance will love it. ,5,Buyer: h***l ( 27) ,2013-06-07
"Fanatstic ring, Wow, better go pick my wife up off the floor! She loves it!!!!",5,Buyer: g***9 ( 127) ,2013-06-07
Great company to deal with !! Highly Reccomended!!!,5,Buyer: 2***1 ( 22) ,2013-06-07
Great seller! Great item at a great price with quick shipping! Thank you :),5,Buyer: a***h ( 1026) ,2013-06-06
VERY safe/fast shipping...great item. Thank you...and thanks for the bonus!,5,Buyer: t***r ( 356) ,2013-06-06
"Beautiful ring, shipped fast, would buy from again",5,Buyer: y***t ( 4 ) ,2013-06-06
Very nice! Thank you,5,Buyer: d***s ( 280) ,2013-06-06
Perfect! Super eBayer!!!! Super fast shipping!!! Thank you!!!! ,5,Buyer: m***k ( 167) ,2013-06-05
"Awesome ring!! Very happy with the way it look. Will buy again! Thanks,,",5,Buyer: d***y ( 18) ,2013-06-03
Item looks great!,5,Buyer: d***t ( 251) ,2013-06-03
Praise the Lord for the beautiful ring and earrings!!!! Thanks!!,5,Buyer: p***p ( 13) ,2013-06-03
Received my ring in less time then expected! Love the item purchased!,5,Buyer: m***d ( 3 ) ,2013-06-02
"Fantastic service, super fast delivery and amazing quality, highly recommended!!",5,Buyer: t***s ( 156) ,2013-06-01
"Pleasure doing business, *****fast shipping******",5,Buyer: y***o ( 103) ,2013-05-31
Very nice and i got earrings as gift thank you ,5,Buyer: z***i ( 44) ,2013-05-31
njce thank you,5,Buyer: g***t ( 78) ,2013-05-30
i had a great experence with agape the ring turned awesome and service was great,5,Buyer: e***j ( 1 ) ,2013-05-30
Never got cancel,5,Buyer: b***b ( 42) ,2013-05-29
Fast shipping. Great communication. Thank you.,5,Buyer: 3***3 ( 97) ,2013-05-29
Very Satisfied. Best Customer Service! Will Buy Again!,5,Buyer: f***o ( 634) ,2013-05-28
Great seller! pleasure to do business with!,5,Buyer: c***a ( 47) ,2013-05-28
Just as promised! And also the free Gift was greatly appreciated! Thanks!,5,Buyer: c***f ( 22) ,2013-05-28
Great ring thanks so much,5,Buyer: o***2 ( 55) ,2013-05-27
